id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1439,Q6UXG2,,,,,,,,,,,False
1440,Q6UWT2,,,,,,,,,,,False
1441,P55085,,,,,,,,,,,False
1442,Q6V0I7,,,,,,,,,,,False
1443,P24071,,,,,,,,,,,False
1444,P12319,,,,,,,,,,,False
1445,P30273,,,,,,,,,,,False
1446,P12314,,,,,,,,,,,False
1447,P08637,,,,,,,,,,,False
1448,Q96LA6,,,,,,,,,,,False
1449,O43320,,,,,,,,,,,False
1450,O76093,,,,,,,,,,,False
1451,Q86XX4,,,,,,,,,,,False
1452,Q5H8C1,,,,,,,,,,,False
1453,Q5SZK8,,,,,,,,,,,False
1454,Q99988,,,,,,,,,,,False
1455,Q8IVK1,,,,,,,,,,,False
1456,P29992,,,,,,,,,,,False
1457,P40197,,,,,,,,,,,False
